unlabeled,labeled
4.0,23526
3.0,15531
5.0,27760
6.0,29730
2.0,8912
8.0,31614
7.0,30908
1.0,2963
0.0,222
17.0,8777
16.0,8723
68.0,30905
15.0,8641
63.0,30898
14.0,8537
9.0,32104
10.0,7803
12.0,8246
11.0,8053
25.0,15466
43.0,27739
37.0,23517
34.0,23504
39.0,23522
33.0,23499
38.0,23520
35.0,23510
13.0,8420
23.0,15426
32.0,23492
64.0,30900
22.0,15396
27.0,15505
30.0,23471
48.0,27757
24.0,15444
31.0,23483
67.0,30904
44.0,27741
49.0,27758
20.0,15334
75.0,31609
26.0,15484
54.0,29720
18.0,8830
42.0,27732
28.0,15515
50.0,29710
47.0,27753
21.0,15373
65.0,30901
45.0,27747
19.0,8878
36.0,23514
29.0,15522
46.0,27749
40.0,27721
41.0,27728
57.0,29723
71.0,31603
53.0,29718
55.0,29721
83.0,32097
52.0,29714
92.0,32427
60.0,30894
59.0,29728
77.0,31611
56.0,29722
95.0,32430
62.0,30897
69.0,30907
58.0,29724
79.0,31613
70.0,31601
51.0,29711
66.0,30903
76.0,31610
84.0,32098
88.0,32102
61.0,30896
72.0,31605
86.0,32100
114.0,8240
81.0,32094
96.0,32431
131.0,8531
89.0,32103
74.0,31608
94.0,32429
93.0,32428
85.0,32099
80.0,32093
99.0,32434
91.0,32425
136.0,8534
106.0,8049
0.5,400
0.6,431
0.1,281
0.3,355
0.24,338
0.4,382
1.0156408078803,3437
1.01080965384282,3320
0.970872113799627,1650
1.00742784601658,3224
1.15300662101272,4605
1.00887719222782,3262
1.17539096805305,4685
1.20325062300254,4755
0.990518806885389,2566
0.974092883157949,1772
0.999053845684941,2911
0.978762998727515,1976
1.05429004018016,4014
1.05219654009725,3994
0.935443650858089,931
0.995188922454956,2759
1.01000446150324,3292
1.1718481217589,4677
1.13738588962486,4534
1.40535390023722,5276
0.99293438390413,2677
1.03416023169065,3808
0.988103229866648,2453
2.92926092212712,13829
0.968456536780886,1564
1.00372396125451,3099
1.0187005387707,3511
1.00114734576785,3012
1.01612392328405,3451
1.01644600021988,3460
1.01741223102738,3479
1.47959263394653,5446
1.01403042320114,3403
1.14704819769982,4582
1.16750008312516,4660
0.998087614877445,2883
0.989874653013725,2536
1.03448230862648,3812
3.01928142569221,16103
1.08601461835963,4239
0.959599421045501,1310
0.992773345436214,2669
1.282964664621,4946
1.03673684717731,3834
0.991001922289137,2588
0.988264268334564,2460
1.86012653363224,6079
1.04800953993143,3963
0.982788960425417,2178
0.982949998893333,2189
0.965718882826312,1463
1.03963553959979,3871
1.14817546697523,4588
0.968617575248802,1573
0.956217613219263,1237
1.31485028126838,5022
0.130895465149336,298
1.004690192062,3132
0.942690381914312,1025
1.03689788564522,3835
1.03850827032438,3856
0.962659151935907,1389
0.95798903636634,1273
2.48382851987123,10949
1.03754203951689,3845
0.989069460674144,2499
1.44802909423498,5372
1.37105270657109,5199
1.32467362781126,5054
